keywords	mean concreteness	STDEV
结局 心底 城市 男人	2.4283675	1.1535765281912018
故事 世界 电话 流星	2.285989	0.9076682521314344
回忆 记忆 照片 脚步	2.5939705	1.1644116860336238
地方 方向 背影 蓝天	2.1074205	0.5930710783627315
岁月 生命 彩虹 身体	2.5300035	1.2330152682711057
理由 时间 肩膀 孩子	2.209404	0.9798123585955969
承诺 感情 手心 翅膀	2.74578825	1.3966740273474398
青春 爱情 蝴蝶 月亮	2.31370975	1.2326372116916302
笑容 生活 玫瑰 太阳	1.964015	0.9348082199963085
缘分 勇气 白云 天空	2.5970455	1.3795519824316154
感觉 梦想 眼泪 眼睛	2.7871937499999997	1.7548310131611673
人生 心情 阳光 微笑	2.7234635000000003	1.0696819834566096
