Melody,Length,Keyword,Chatgpt,MT-based,SongNet,smBART3_4_line,less_BLC_4_line,more_BLC_4_line
1,9,结局,历经沧浪情依孤岛留,结局却让我如此着迷,男人的心底没有道理,结局一揭开就泪在流,没留下一句话是结局,明知道注定是这结局
1,6,心底,涌动深藏情意,心底最深的痛,城市孤单安静,爱却埋在心底,却又埋在心底,都藏于她心底
1,8,城市,灯火闪烁车潮嘈杂,城市里有你也有我,结局是错的好认真,城市之痛四面八方,从城市到山那一边,从城市到山中穿梭
1,7,男人,刚强坚韧肩膀铸,男人啊你听我说,谁说一定要面对,男人还能做什么,哦哦哦哦男男人,别和人谈心打扰
2,8,故事,旧事经过而转变新,故事里的故事很美,谁能像电话般接下,故事重写年年蹉跎,故事完了还没续集,故事完了还没说完
2,7,世界,辽阔多彩千种风,世界变得更辽阔,从故事听到他说,世界再没什么留,让爱从眼前走来,要让谁感觉我来
2,9,电话,疏离通话心纽连接符,电话响了你又接了谁,不再听你说话的世界,还没和你通电话呢喃,还没和你通电话以前,谁人陪我看飞翔彩霞
2,6,流星,飞逝刹那瞬间,流星划过天际,那流星的语言,流星带不回我,流星划下来了,流星划下来啦
3,7,回忆,沉醉光影心深溢,那些甜蜜的回忆,风吹过记忆的黑,将要重演的回忆,让坚强的回忆飞,那幸福的回忆中
3,9,记忆,唤起往日时光留存轨,记忆里有你有我也有,带走了照片留下昨天,就留我埋葬在记忆里,让所有人都在记忆里,让所有埋在记忆深处
3,8,照片,眼望回忆印载情缠,照片里你笑的很甜,走过的路留下孤单,翻来晃去仍是照片,拍几张还留这照片,为什么还留这照片
3,8,脚步,迈势行进路疾驶步,脚步是那么的匆忙,回忆的脚步那么甜,没有谁能跟住脚步,没有谁能跟住脚步,什么阻挡这双脚步
4,8,地方,区域土片当处界方,是我生我养我的地,心方向却不停转弯,没人的地方陪你走,能陪你到任何地方,能陪你到任何地方
4,7,方向,正南朝前指引导,是方向是方向是,你可会看见我的,迷迷糊糊失方向,没方向又遇到谁,寻不到那方向去
4,7,背影,悲咽影离背望漠,背影已模糊不清,就像蓝天的背影,离愁只剩个背影,谁人躲在背影旁,谁来抹去个背影
4,8,蓝天,广阔天空青蓝碧湛,蓝天上有你也有我,这一次我想要地方,蓝天有多广去找你,蓝天五彩的梦里游,蓝天海阔你跟我走
5,10,岁月,悠长光阴春秋年花夏冬,岁月的痕迹刻在我心上,岁月如流转身都已降临,岁月不留情谁人能了解,岁月蹉跎谁人能读懂懂,岁月蹉跎情何尝能永久
5,10,生命,生命繁盛灵动跃飞长荣,生命里有你有我也有你,身体如飘零也都已降临,生命在轮回谁人能了解,生命之长途何时能来得,生命中来来回回寻烦恼
5,10,彩虹,缤纷色彩绚光艳照天空,彩虹的颜色是那么的鲜,生命从我脚下划过彩虹,就像云与彩虹终究会停,风风雨雨陪我走过彩虹,风风雨雨才会看见彩虹
5,9,身体,身体强健柔韧灵活力,身体在不停的晃动着,才让我们的心更清晰,谁都别为我把身体扭,哦快来摸摸我的身体,别让谁伤了你的身体
6,10,理由,真实立缘因理不由原无,爱上你没有任何的理由,孩子在身上和身旁一样,再不能重逢没你的理由 ,却又毫无能和你的理由,爱却成为谁能给的理由
6,8,时间,光阴流转时刻岁年,时间在不停的流走,我们都在为他肩膀,时间一分一秒走来,随时间变得好冷漠,随时间变得好渺茫
6,9,肩膀,承担互扶坚实平台背,你的肩膀是那么宽广,当时间又停住了时间,让它停在小小的肩膀,让它停泊于我们肩膀,落在别人小小的肩膀
6,8,孩子,童心纯真灵动活泼,孩子啊你不要哭泣,有没有不同的理由,童年时常幻想孩子,像一个孤独的孩子,和孩子一样的我们
7,11,承诺,承诺语言信心守邮递信息,曾经的承诺都已随风而去,我们都像是一双温柔翅膀,谁来疼爱诚实得许了承诺,还没来得及和别人的承诺,谁还能实现谁平凡的承诺
7,12,感情,感情丝系红尘间飞舞心弦流,感情的路上难免有太多无奈,幸福来自最深处最深的感情,谁对谁太过份难明了谈感情,是谁放不下这无情的结感情,是谁在埋怨这无缘的感情浓
7,11,手心,手心握紧踏实进行放松笑,手心牵着手心牵着手心连,让我们紧紧握紧你的手心,捧起这手心里是爱在发烫,谁人能抚平谁手心的伤疤,从手心写出的故事叫远行
7,9,翅膀,翅膀飞翔自由蓝天空,给我一双飞翔的翅膀,保持幸福永恒的承抚,有梦就有翅膀去翱翔,让我为你插上翅膀飞,是你给了我梦的翅膀
8,11,青春,青春时光流转看透梦的边,青春的颜色是青春的颜色,有时候青春像蝴蝶在飞翔,别让爱在青春年华流离去,别再让那不为人人而青春,别在说爱恨情仇的时代中
8,11,爱情,爱情绕指尖缠绵绵花的圈,爱情的路上我学会了坚强,有时候不要问我到哪里去,别让爱让爱情来如影随形,别再让那不为人知的爱情,别让它在为谁而停的爱情
8,12,蝴蝶,蝴蝶翩翩舞舞动彩色的空中,蝴蝶在空中飞舞蝴蝶在空中,我等待你一去呀不回了太久,像只蝴蝶停在被遗忘的地方,谁能明白谁能让谁变成蝴蝶,来来回回在玩捉蝴蝶般穿梭
8,9,月亮,月亮轻指柔情盈怀香,月亮啊月亮月亮啊月,在我心上是否感动你,月亮挂在晴朗的天空,你看那弯弯的月亮啊,你看那弯弯的月亮啊
9,8,笑容,笑容一抹春风温润,笑容里有你也有我,像玫瑰般温柔太阳,谁的笑容谁的缠绵,谁的模样谁的笑容,谁的疲倦谁的笑容
9,7,生活,生活是曲折旅程,生活就是这么样,带我到天涯海角,面对这生活每天,面对这些和生活,面对生活才洒脱
9,10,玫瑰,玫瑰绽放芳香芬芳飘散,玫瑰的香味是那么的浓,我们俩生活一路不停靠,没有征服的玫瑰已远去,玫瑰花谢了能把谁挽留,连眼泪和果实也如玫瑰
9,9,太阳,太阳温暖照耀大地明,太阳啊太阳我的太阳,你的笑容灿烂又瞬间,就像那托付太阳的吻,别再哭看那太阳落了,来又去都是太阳走了
10,13,缘分,缘分相聚绵绵线上缱绻联系离,缘分让我们相遇相识相知相惜,这缘分是你的手足够让我着迷,原来距离是爱情和缘分来的啊,没缘分没工作没钱来娶别人啊,才能够从命中和轮回的缘分里
10,8,勇气,勇气舍得担当风雨,勇气是为自己鼓掌,谁能拿给我勇气说,拿得起勇气和执着,没鼓足勇气才明白,谁没有绝望和逃离
10,8,白云,白云悠然自在飘舞,白云在天空中飘荡,就像白云一样来去,映红了白云在飘荡,像云的白云在飘荡,像白云围绕在天边
10,9,天空,天空蓝天际云飞翔遥,天空是一片蔚蓝的蓝,这天空可以捉摸不定,蓝蓝的天和绿绿的天,为什么他站在天空下,晴朗的天空都看得见
11,8,感觉,感觉莫测心动悸惊,感觉是那么的强烈,用梦想感觉那么好,连那痛都当没感觉,谁都说这没啥感觉,别再为爱而感觉累
11,7,梦想,梦想如影随行游,梦想就在不远处,那眼睛却最明白,人来又人去梦想,谁能让谁让梦想,谁还为谁在梦想
